sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
1,hexagon,5.5,60,UPLOAD_FAILED,8,2,2026-02-13T01:57:18.062469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rose,2,75,SUCCESS,,,2026-02-13T01:58:29.799188,2.405,0,0.498,-2.405,1.6,305.7,12.54,29.12,0.5774,0.029744,0.126586,130,130,16900,2601,79757,30333,6,3,2,,,,,,,,,,,,,,,,
3,spiral,4,65,SUCCESS,,,2026-02-13T01:59:50.519030,0.175,0,0.245,-0.175,1.6,260.2,7.54,20.9,0.5774,0.030923,0.129734,130,130,16900,2601,69646,29017,,,3,10,,,,,,,,,,,,,,,
4,hexagon,2.5,70,SUCCESS,11,3,2026-02-13T02:01:59.971763,1.529,0,0.436,-1.529,1.6,299.1,10.91,26.59,0.5774,0.030172,0.127561,130,130,16900,2601,75149,29842,,,,,,,,,,,,,,,,,,,
5,rose,4,75,SUCCESS,,,2026-02-13T02:07:04.626060,0.786,0,0.339,-0.786,1.6,290.5,8.85,23.48,0.5774,0.030998,0.129509,130,130,16900,2601,70443,28925,10,2,2,,,,,,,,,,,,,,,,
6,hexagon,4.5,60,SUCCESS,14,1,2026-02-13T02:09:25.284872,1.419,0,0.425,-1.419,1.6,283.9,11.23,26.9,0.5774,0.029926,0.127103,130,130,16900,2601,75844,30113,,,,,,,,,,,,,,,,,,,
7,hexagon,3.5,45,FAILED,4,3,2026-02-13T02:12:00.009274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ellipse,4.5,70,SUCCESS,,,2026-02-13T02:13:17.406514,1.087,0,0.322,-1.087,1.6,260.2,9.95,24.88,0.5774,0.029315,0.126337,130,130,16900,2601,78208,30452,,,2,,8,3.8,,,,,,,,,,,,,
9,square,7,40,SUCCESS,,3,2026-02-13T02:14:33.122404,1.736,0,0.42,-1.736,1.6,292,11.91,28.12,0.5774,0.029319,0.125991,130,130,16900,2601,79979,30633,,,,,,,10,,,,,,,,,,,,
10,square,8,50,SUCCESS,,2,2026-02-13T02:17:25.127443,3.253,0,0.551,-3.253,1.6,303.5,15.38,33.38,0.5774,0.02941,0.125921,130,130,16900,2601,82673,30686,,,,,,,18,,,,,,,,,,,,
11,square,4.5,60,FAILED,,1,2026-02-13T02:19:29.807562,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,
12,spiral_inward,4,55,SUCCESS,,,2026-02-13T02:20:14.620065,1.72,0,0.382,-1.72,1.6,299,11.85,27.73,0.5774,0.02941,0.126405,130,130,16900,2601,79614,30416,,,2,12,,,,,,,,,,,,,,,
13,rose,2.5,55,SUCCESS,,,2026-02-13T02:21:46.779710,1.266,0,0.338,-1.266,1.6,285.2,11.12,26.86,0.5774,0.029292,0.126197,130,130,16900,2601,80596,30521,8,5,2,,,,,,,,,,,,,,,,
14,circular,3,75,SUCCESS,9,,2026-02-13T02:23:19.041086,0.455,0,0.294,-0.455,1.6,271.2,9.07,23.52,0.5774,0.030162,0.128082,130,130,16900,2601,73451,29582,,,4,,,,,,,,,,,,,,,,
15,zigzag,3,50,SUCCESS,,,2026-02-13T02:25:55.263459,0.944,0,0.335,-0.944,1.6,259.7,10.11,25.55,0.5774,0.030405,0.128483,130,130,16900,2601,72845,29385,,,,,,,,14,22,11,,,,,,,,,
16,rose,6,55,SUCCESS,,,2026-02-13T02:26:55.312816,2.608,0,0.487,-2.608,1.6,304.9,14.5,32.32,0.5774,0.029056,0.125351,130,130,16900,2601,82904,30963,6,2,2,,,,,,,,,,,,,,,,
