sim_id,path_type,depth_input_mm,total_time,status,param_radius,param_num_passes,timestamp,max_depth_mm,avg_depth_mm,depth_std_mm,min_z_coord,max_z_coord,max_stress_MPa,avg_stress_MPa,stress_std_MPa,max_strain,avg_strain,strain_std,formed_diameter_x_mm,formed_diameter_y_mm,formed_area_mm2,num_nodes,num_stress_values,num_strain_values,param_amplitude,param_k_petals,param_num_rotations,param_max_radius,param_major_axis,param_minor_axis,param_side_length,param_width,param_height,param_num_lines,param_outer_radius,param_inner_radius,param_num_points_star,param_num_cycles,param_min_radius,param_num_circles,param_freq_x,param_freq_y,param_num_periods
1,hexagon,5.5,60.0,UPLOAD_FAILED,8.0,2.0,2026-02-13T01:57:18.062469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,rose,2.0,75.0,SUCCESS,,,2026-02-13T01:58:29.799188,1.6,1.094,0.716,0.0,1.6,305.7,12.54,29.12,0.5774,0.029744,0.126586,65.0,65.0,4225.0,1879.0,79757.0,30333.0,6.0,3.0,2.0,,,,,,,,,,,,,,,,
3,spiral,4.0,65.0,SUCCESS,,,2026-02-13T01:59:50.519030,1.6,1.099,0.724,0.0,1.6,260.2,7.54,20.9,0.5774,0.030923,0.129734,65.0,65.0,4225.0,1945.0,69646.0,29017.0,,,3.0,10.0,,,,,,,,,,,,,,,
4,hexagon,2.5,70.0,SUCCESS,11.0,3.0,2026-02-13T02:01:59.971763,1.6,1.093,0.72,0.0,1.6,299.1,10.91,26.59,0.5774,0.030172,0.127561,65.0,65.0,4225.0,1891.0,75149.0,29842.0,,,,,,,,,,,,,,,,,,,
5,rose,4.0,75.0,SUCCESS,,,2026-02-13T02:07:04.626060,1.6,1.095,0.723,0.0,1.6,290.5,8.85,23.48,0.5774,0.030998,0.129509,65.0,65.0,4225.0,1917.0,70443.0,28925.0,10.0,2.0,2.0,,,,,,,,,,,,,,,,
6,hexagon,4.5,60.0,SUCCESS,14.0,1.0,2026-02-13T02:09:25.284872,1.6,1.094,0.719,0.0,1.6,283.9,11.23,26.9,0.5774,0.029926,0.127103,65.0,65.0,4225.0,1893.0,75844.0,30113.0,,,,,,,,,,,,,,,,,,,
7,hexagon,3.5,45.0,FAILED,4.0,3.0,2026-02-13T02:12:00.009274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ellipse,4.5,70.0,SUCCESS,,,2026-02-13T02:13:17.406514,1.6,1.101,0.719,0.0,1.6,260.2,9.95,24.88,0.5774,0.029315,0.126337,65.0,65.0,4225.0,1931.0,78208.0,30452.0,,,2.0,,8.0,3.8,,,,,,,,,,,,,
9,square,7.0,40.0,SUCCESS,,3.0,2026-02-13T02:14:33.122404,1.6,1.099,0.715,0.0,1.6,292.0,11.91,28.12,0.5774,0.029319,0.125991,65.0,65.0,4225.0,1904.0,79979.0,30633.0,,,,,,,10.0,,,,,,,,,,,,
10,square,8.0,50.0,SUCCESS,,2.0,2026-02-13T02:17:25.127443,1.6,1.097,0.71,0.0,1.6,303.5,15.38,33.38,0.5774,0.02941,0.125921,65.0,65.0,4225.0,1867.0,82673.0,30686.0,,,,,,,18.0,,,,,,,,,,,,
11,square,4.5,60.0,FAILED,,1.0,2026-02-13T02:19:29.807562,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
12,spiral_inward,4.0,55.0,SUCCESS,,,2026-02-13T02:20:14.620065,1.6,1.102,0.714,0.0,1.6,299.0,11.85,27.73,0.5774,0.02941,0.126405,65.0,65.0,4225.0,1916.0,79614.0,30416.0,,,2.0,12.0,,,,,,,,,,,,,,,
13,rose,2.5,55.0,SUCCESS,,,2026-02-13T02:21:46.779710,1.6,1.102,0.716,0.0,1.6,285.2,11.12,26.86,0.5774,0.029292,0.126197,65.0,65.0,4225.0,1926.0,80596.0,30521.0,8.0,5.0,2.0,,,,,,,,,,,,,,,,
